scenario_info,passenger_id,psgrNum,dep_node,dep_node_expanded,arr_node,calltime,shuttleid,expectedwaitingtime,expectedarrivaltime,waitstarttime,pathChanged,boardingtime,success,shuttleID,arrivaltime,increased_time
2026-03-02 22:22:46_100_0.3_54,1,4,dynamic_1,"(126.83704402158179, 37.29675740490585)",0349,80,SHUTTLE0002,118.35390367577966,263.35390367577963,80.0,1.0,301.0,True,SHUTTLE0002,476.0,-88.35390367577963
2026-03-02 22:22:46_100_0.3_54,2,4,dynamic_2,"(126.8343875477738, 37.29656100546587)",0057,133,SHUTTLE0004,208.23381888094497,330.23381888094497,133.0,,268.0,True,SHUTTLE0004,503.0,-95.23381888094497
2026-03-02 22:22:46_100_0.3_54,3,2,dynamic_3,"(126.8396507127578, 37.29720039020878)",0007,166,SHUTTLE0002,29.25899933086666,61.25899933086666,166.0,,201.0,True,SHUTTLE0002,256.0,-6.258999330866658
2026-03-02 22:22:46_100_0.3_54,4,2,dynamic_4,"(126.83245963014811, 37.31103312004199)",0242,307,SHUTTLE0003,116.14620327146727,103.14620327146727,307.0,,442.0,True,SHUTTLE0003,597.0,51.85379672853273
2026-03-02 22:22:46_100_0.3_54,5,4,dynamic_5,"(126.85297075923029, 37.29578290167692)",0031,633,SHUTTLE0002,0.33157958070861515,283.33157958070865,633.0,1.0,658.0,True,SHUTTLE0002,1041.0,99.66842041929135
2026-03-02 22:22:46_100_0.3_54,6,4,dynamic_6,"(126.84906684849193, 37.30717186553337)",0274,686,SHUTTLE0002,113.13586038347019,209.1358603834702,686.0,,821.0,True,SHUTTLE0002,996.0,-34.1358603834702
2026-03-02 22:22:46_100_0.3_54,7,2,dynamic_7,"(126.84709777823566, 37.30318418102693)",0456,775,SHUTTLE0004,167.05149252764338,192.05149252764338,775.0,,910.0,True,SHUTTLE0004,1045.0,-57.051492527643376
2026-03-02 22:22:46_100_0.3_54,8,2,dynamic_8,"(126.84553306546444, 37.30865422971422)",0019,893,SHUTTLE0001,127.05769850587524,149.05769850587524,893.0,,1038.0,True,SHUTTLE0001,1183.0,-4.057698505875237
2026-03-02 22:22:46_100_0.3_54,9,2,dynamic_9,"(126.82872606616968, 37.312210689131234)",0456,1006,SHUTTLE0003,93.11252345736625,237.11252345736625,1006.0,1.0,1141.0,True,SHUTTLE0003,1549.0,170.88747654263375
2026-03-02 22:22:46_100_0.3_54,10,3,dynamic_10,"(126.83087223359837, 37.310539850159856)",0362,1244,SHUTTLE0003,66.30682759573335,224.30682759573335,1244.0,,1349.0,True,SHUTTLE0003,1514.0,-59.30682759573335
2026-03-02 22:22:46_100_0.3_54,11,2,dynamic_11,"(126.83811553762237, 37.298190888339406)",0456,1431,SHUTTLE0001,0.10010225508457118,84.10010225508458,1431.0,,1456.0,True,SHUTTLE0001,1511.0,-29.10010225508458
2026-03-02 22:22:46_100_0.3_54,12,1,dynamic_12,"(126.83739657110384, 37.29762586758092)",0221,1500,SHUTTLE0002,71.30780976371832,177.30780976371832,1500.0,2.0,1585.0,True,SHUTTLE0002,,
2026-03-02 22:22:46_100_0.3_54,13,1,dynamic_13,"(126.83739657110384, 37.29762586758092)",0221,1530,SHUTTLE0002,22.923429291154964,177.30780976371832,1530.0,1.0,1655.0,True,SHUTTLE0002,,
2026-03-02 22:22:46_100_0.3_54,14,1,dynamic_14,"(126.83739657110384, 37.29762586758092)",0221,1560,SHUTTLE0002,0.9234292911549635,177.92342929115497,1560.0,,1620.0,True,SHUTTLE0002,1830.0,32.076570708845026
2026-03-02 22:22:46_100_0.3_54,15,3,dynamic_15,"(126.85257678822337, 37.29514566613442)",0069,1566,SHUTTLE0006,171.34360361667026,260.3436036166703,1566.0,,1661.0,True,SHUTTLE0006,1876.0,-45.34360361667029
2026-03-02 22:22:46_100_0.3_54,16,1,dynamic_16,"(126.83739657110384, 37.29762586758092)",0221,1590,SHUTTLE0001,84.30780976371832,177.30780976371832,1590.0,2.0,1655.0,True,SHUTTLE0001,,
2026-03-02 22:22:46_100_0.3_54,17,1,dynamic_17,"(126.83739657110384, 37.29762586758092)",0221,1620,SHUTTLE0001,30.923429291154964,177.30780976371832,1620.0,1.0,1690.0,True,SHUTTLE0001,,
2026-03-02 22:22:46_100_0.3_54,18,1,dynamic_18,"(126.83739657110384, 37.29762586758092)",0221,1650,SHUTTLE0003,84.30780976371832,177.30780976371832,1650.0,2.0,1715.0,True,SHUTTLE0003,,
2026-03-02 22:22:46_100_0.3_54,19,3,dynamic_19,"(126.84447629309919, 37.30847587684142)",0306,1660,SHUTTLE0005,205.16554701192976,108.16554701192976,1660.0,,1855.0,True,SHUTTLE0005,1960.0,-3.1655470119297604
2026-03-02 22:22:46_100_0.3_54,20,1,dynamic_20,"(126.83739657110384, 37.29762586758092)",0221,1680,SHUTTLE0003,30.923429291154964,177.30780976371832,1680.0,1.0,1750.0,True,SHUTTLE0003,,
2026-03-02 22:22:46_100_0.3_54,21,1,dynamic_21,"(126.83739657110384, 37.29762586758092)",0221,1710,SHUTTLE0001,0.3078097637183212,177.30780976371832,1710.0,,1735.0,True,SHUTTLE0001,1910.0,-2.307809763718325
2026-03-02 22:22:46_100_0.3_54,22,1,dynamic_22,"(126.83739657110384, 37.29762586758092)",0221,1740,SHUTTLE0004,84.30780976371832,177.30780976371832,1740.0,,1795.0,True,SHUTTLE0004,1970.0,-2.307809763718325
2026-03-02 22:22:46_100_0.3_54,23,1,dynamic_23,"(126.83739657110384, 37.29762586758092)",0221,1770,SHUTTLE0003,0.3078097637183212,177.30780976371832,1770.0,,1795.0,True,SHUTTLE0003,1970.0,-2.307809763718325
2026-03-02 22:22:46_100_0.3_54,24,2,dynamic_24,"(126.83784968472763, 37.30086083066449)",0456,1985,SHUTTLE0004,160.18725813891362,177.1872581389136,1985.0,,2160.0,True,SHUTTLE0004,2285.0,-52.18725813891359
2026-03-02 22:22:46_100_0.3_54,25,2,dynamic_25,"(126.82647151636444, 37.29597479651702)",0116,2059,SHUTTLE0005,86.30854727756119,94.30854727756119,2059.0,,2154.0,True,SHUTTLE0005,2259.0,10.691452722438811
2026-03-02 22:22:46_100_0.3_54,26,2,dynamic_26,"(126.83998557329552, 37.31317821414582)",0068,2337,SHUTTLE0006,104.19494670075402,69.19494670075402,2337.0,,2492.0,True,SHUTTLE0006,2607.0,45.805053299245984
2026-03-02 22:22:46_100_0.3_54,27,3,dynamic_27,"(126.83153696405832, 37.30929019315542)",0114,2421,SHUTTLE0005,40.18570662773012,213.18570662773013,2421.0,,2516.0,True,SHUTTLE0005,2691.0,-38.18570662773013
2026-03-02 22:22:46_100_0.3_54,28,3,dynamic_28,"(126.83399409989676, 37.29760401522097)",0456,2554,SHUTTLE0004,33.31688383237962,33.31688383237962,2554.0,,2589.0,True,SHUTTLE0004,2624.0,1.6831161676203834
2026-03-02 22:22:46_100_0.3_54,29,4,dynamic_29,"(126.82933713013215, 37.309521417587696)",0022,2612,SHUTTLE0006,136.09519616047893,89.09519616047893,2612.0,2.0,3062.0,True,SHUTTLE0006,3577.0,425.90480383952104
2026-03-02 22:22:46_100_0.3_54,30,2,dynamic_30,"(126.84188604103834, 37.29628688358319)",0055,2666,SHUTTLE0005,49.185312617090744,365.18531261709074,2666.0,,2726.0,True,SHUTTLE0005,3040.0,-51.185312617090744
2026-03-02 22:22:46_100_0.3_54,31,3,dynamic_31,"(126.8459471774432, 37.31212418795079)",0203,2707,SHUTTLE0006,127.0656399107851,84.0656399107851,2707.0,,2822.0,True,SHUTTLE0006,2957.0,50.934360089214906
2026-03-02 22:22:46_100_0.3_54,32,3,dynamic_32,"(126.85015751125592, 37.307629854308225)",0221,2740,SHUTTLE0004,240.08414353416973,17.084143534169733,2740.0,1.0,3199.0,True,SHUTTLE0004,3234.0,17.915856465830267
2026-03-02 22:22:46_100_0.3_54,33,4,dynamic_33,"(126.82620787989592, 37.31196530826339)",0226,2744,SHUTTLE0004,239.35204982487838,141.35204982487838,2744.0,,2949.0,True,SHUTTLE0004,3104.0,13.647950175121622
2026-03-02 22:22:46_100_0.3_54,34,2,dynamic_34,"(126.83121727956053, 37.30918513173967)",0349,2865,SHUTTLE0005,282.15610754158365,258.15610754158365,2865.0,1.0,3205.0,True,SHUTTLE0005,3455.0,-8.156107541583651
2026-03-02 22:22:46_100_0.3_54,35,3,dynamic_35,"(126.85246878342093, 37.29683798505269)",0031,3130,SHUTTLE0005,299.6322805008335,283.32006541766617,3130.0,1.0,3430.0,True,SHUTTLE0005,,
2026-03-02 22:22:46_100_0.3_54,36,4,dynamic_36,"(126.85180960448234, 37.29625871489477)",0061,3142,SHUTTLE0006,274.1070741435331,135.10707414353308,3142.0,,3357.0,True,SHUTTLE0006,3472.0,-20.107074143533083
2026-03-02 22:22:46_100_0.3_54,37,2,dynamic_37,"(126.85147431174043, 37.29544320934383)",0355,3235,SHUTTLE0004,164.25524802340067,171.25524802340067,3235.0,,3365.0,True,SHUTTLE0004,3470.0,-66.25524802340067
2026-03-02 22:22:46_100_0.3_54,38,3,dynamic_38,"(126.82976710872934, 37.29664331066088)",0019,3330,SHUTTLE0004,613.7076599727227,103.1971639259213,3330.0,,,,,,
2026-03-02 22:22:46_100_0.3_54,39,3,dynamic_39,"(126.83367446067093, 37.29479569141661)",0271,3379,,,,,,,False,,,
2026-03-02 22:22:46_100_0.3_54,40,4,dynamic_40,"(126.8309086448447, 37.29663422107067)",0116,3385,,,,,,,False,,,
2026-03-02 22:22:46_100_0.3_54,41,3,dynamic_41,"(126.83348892434962, 37.30844738738618)",0184,3492,SHUTTLE0005,182.33328239792047,40.33328239792047,3492.0,,,,,,
